CarID,...1,Battery,To100sec,TopSpeed,Range,WhperKm,FastChargeSpeed,Drive,NumberofSeats,Price
EV_001,Abarth 500e Scorpionissima,37.3,7,155,225,166,370,0,4,36000
EV_002,Audi Q4 Sportback e-tron 40,76.6,8.5,160,425,180,540,1,5,51430
EV_003,Audi Q4 Sportback e-tron 50 quattro,76.6,6.2,180,400,192,500,2,5,57810
EV_004,Audi Q4 e-tron 40,76.6,8.5,160,405,189,510,1,5,49930
EV_005,Audi Q4 e-tron 50 quattro,76.6,6.2,180,385,199,490,2,5,56310
EV_006,Audi Q8 e-tron 50 quattro,89,6,200,415,214,580,2,5,67800
EV_007,Audi Q8 e-tron 55 quattro,106,5.6,200,495,214,670,2,5,77800
EV_008,Audi Q8 e-tron Sportback 50 quattro,89,6,200,440,202,610,2,5,70300
EV_009,Audi Q8 e-tron Sportback 55 quattro,106,5.6,200,525,202,710,2,5,80300
EV_010,Audi SQ8 e-tron,106,4.5,210,445,238,600,2,5,98295
EV_011,Audi SQ8 e-tron Sportback,106,4.5,210,470,226,630,2,5,100795
EV_012,Audi e-tron GT RS,85,3.3,250,405,210,1000,2,4,115000
EV_013,Audi e-tron GT quattro,85,4.1,245,420,202,1030,2,4,84000
EV_014,BMW i4 M50,80.7,3.9,225,435,186,670,2,5,71085
EV_015,BMW i4 eDrive35,67,6,190,400,168,540,1,5,49995
EV_016,BMW i4 eDrive40,80.7,5.7,190,470,172,730,1,5,57890
EV_017,BMW i7 M70 xDrive,101.7,3.7,250,490,208,730,2,5,175000
EV_018,BMW i7 xDrive60,101.7,4.7,240,510,199,760,2,5,110545
EV_019,BMW iX M60,105.2,3.8,250,485,217,650,2,5,119225
EV_020,BMW iX xDrive40,71,6.1,200,360,197,480,2,5,69905
EV_021,BMW iX xDrive50,105.2,4.6,200,505,208,680,2,5,99785
EV_022,BMW iX1 xDrive30,64.7,5.6,180,355,182,510,2,5,52255
EV_023,BMW iX3,74,6.8,180,385,192,520,1,5,64165
EV_024,BYD ATTO 3,60,7.3,160,320,188,300,0,5,36490
EV_025,CUPRA Born 150 kW - 58,58,7.3,160,350,166,470,1,5,36475
EV_026,CUPRA Born 170 kW - 58,58,6.6,160,345,168,460,1,5,39205
EV_027,CUPRA Born 170 kW - 77,77,7,160,450,171,570,1,4,41975
EV_028,Citroen e-Berlingo M 50,46.3,11.7,135,205,226,330,0,5,31495
EV_029,Citroen e-Berlingo XL 50,46.3,11.7,135,200,232,320,0,7,32495
EV_030,Citroen e-C4,46.3,9.7,150,275,168,440,0,5,30995
EV_031,Citroen e-Jumpy Combi M 50,46.3,12.1,130,185,250,290,0,7,35795
EV_032,Citroen e-Jumpy Combi XL 50,46.3,12.1,130,180,257,290,0,7,35995
EV_033,Citroen e-SpaceTourer M 50,46.3,12.1,130,185,250,290,0,7,47495
EV_034,Citroen e-SpaceTourer XL 50,46.3,12.1,130,180,257,290,0,7,48335
EV_035,DS 3 E-Tense,50.8,9,150,300,169,480,0,5,37200
EV_036,Fiat 500e Cabrio 42,37.3,9,150,230,162,380,0,4,33645
EV_037,Fiat 500e Hatchback 42,37.3,9,150,235,159,390,0,4,30645
EV_038,Fisker Ocean Extreme,100,3.9,200,510,196,730,2,5,60880
EV_039,Fisker Ocean One,100,3.9,200,510,196,730,2,5,60880
EV_040,Fisker Ocean Sport,75,7.4,160,380,197,480,0,5,35970
EV_041,Fisker Ocean Ultra,100,4.2,200,510,196,730,2,5,49880
EV_042,Ford Mustang Mach-E ER AWD,91,5.8,180,440,207,390,2,5,65405
EV_043,Ford Mustang Mach-E ER RWD,91,7,180,455,200,400,1,5,59380
EV_044,Ford Mustang Mach-E GT,91,4.4,200,425,214,380,2,5,74540
EV_045,Ford Mustang Mach-E SR RWD,70,6.9,180,355,197,370,1,5,50830
EV_046,Genesis G80 Electrified Luxury,82.5,4.9,225,440,188,880,2,5,69805
EV_047,Genesis GV60 Premium,74,7.8,185,390,190,1020,1,5,53905
EV_048,Genesis GV60 Sport,74,5.5,200,380,195,990,2,5,58365
EV_049,Genesis GV60 Sport Plus,74,4,235,365,203,950,2,5,67505
EV_050,Genesis GV70 Electrified Sport,74,4.2,235,350,211,860,2,5,64405
EV_051,Honda e Advance,28.5,8.3,145,170,168,180,1,4,36920
EV_052,Hyundai IONIQ 5 Long Range 2WD,74,7.3,185,390,190,1020,1,5,46650
EV_053,Hyundai IONIQ 5 Long Range AWD,74,5.1,185,385,192,1010,2,5,50150
EV_054,Hyundai IONIQ 5 Standard Range 2WD,54,8.5,185,295,183,720,1,5,43150
EV_055,Hyundai IONIQ 6 Long Range 2WD,74,7.4,185,475,156,1240,1,5,46745
EV_056,Hyundai IONIQ 6 Long Range AWD,74,5.1,185,440,168,1150,2,5,50245
EV_057,Hyundai Kona Electric 39,39.2,9.9,155,250,157,220,0,5,32450
EV_058,Hyundai Kona Electric 48,48.4,10,155,300,161,290,0,5,35000
EV_059,Hyundai Kona Electric 64,64,7.9,167,395,162,370,0,5,37750
EV_060,Hyundai Kona Electric 65,65.4,8,167,400,164,410,0,5,40000
EV_061,Jaguar I-Pace EV400,84.7,4.8,200,380,223,360,2,5,69995
EV_062,Jeep Avenger Electric,50.8,9,150,300,169,480,0,5,34800
EV_063,Jeep Avenger Electric 1st Edition,50.8,9,150,295,172,470,0,5,36500
EV_064,Kia EV6 GT,74,3.5,260,370,200,970,2,5,62645
EV_065,Kia EV6 Long Range 2WD,74,7.3,185,410,180,1070,1,5,45245
EV_066,Kia EV6 Long Range AWD,74,5.2,185,400,185,1050,2,5,51745
EV_067,Kia EV9 99.8 AWD,99.8,5.3,180,450,222,850,2,7,65000
EV_068,Kia EV9 99.8 RWD,99.8,9.4,180,460,217,870,1,7,60000
EV_069,Kia Niro EV,64.8,7.8,167,380,171,380,0,5,36795
EV_070,Kia e-Soul 39.2,39.2,9.9,157,230,170,200,0,5,32845
EV_071,Kia e-Soul 64,64,7.9,167,370,173,350,0,5,39045
EV_072,Lexus RZ 450e,64,5.6,160,310,206,460,2,5,66500
EV_073,Lotus Eletre,107,4.5,250,520,206,1090,2,5,89500
EV_074,Lotus Eletre R,107,2.9,260,450,238,940,2,5,120000
EV_075,MG MG4 Electric 51,50.8,7.7,160,300,169,340,1,5,25995
EV_076,MG MG4 Electric 64,61.7,7.9,160,365,169,450,1,5,28495
EV_077,MG MG5 Electric Long Range,57.4,7.7,185,335,171,330,0,5,30995
EV_078,MG ZS EV Long Range,68.3,8.4,175,365,187,410,0,5,31995
EV_079,MG ZS EV Standard Range,49,8.6,175,270,181,260,0,5,29495
EV_080,Maserati GranTurismo Folgore,83,2.7,320,425,195,990,2,4,200000
EV_081,Maserati Grecale Folgore,95,4.1,220,405,235,440,2,5,135000
EV_082,Maxus MIFA 9,90,9.2,180,345,261,290,0,7,64306
